Participant_ID,Trial_Number,Reaction_Time,Accuracy,Presentation_Rate,item,triplet,Sentence_Type,Experiment,Location
p_13784318,1,403,1,250,i_59,,baseline,2a,Central
p_13784318,2,588.6000004,1,125,i_8,,baseline,2a,Central
p_13784318,3,599.3999996,1,250,i_57,,baseline,2a,Central
p_13784318,4,1162.799999,0,125,i_224,112,control,2a,Central
p_13784318,5,921.8999996,1,125,i_16,,baseline,2a,Central
p_13784318,6,298.8999996,1,250,i_129,17,transposed,2a,Central
p_13784318,7,668,1,250,i_173,61,control,2a,Central
p_13784318,8,333,1,250,i_117,5,transposed,2a,Central
p_13784318,9,395.7000008,0,250,i_80,,baseline,2a,Central
p_13784318,10,402.5,1,250,i_64,,baseline,2a,Central
p_13784318,11,876.3000002,0,125,i_32,,baseline,2a,Central
p_13784318,12,528.1000004,1,250,i_94,,baseline,2a,Central
p_13784318,13,619.5,1,250,i_104,,baseline,2a,Central
p_13784318,14,210.6999998,1,250,i_193,81,control,2a,Central
p_13784318,15,962.8999996,1,125,i_31,,baseline,2a,Central
p_13784318,16,547.7000008,1,125,i_51,,baseline,2a,Central
p_13784318,17,278.6999998,1,250,i_182,70,control,2a,Central
p_13784318,18,323.5,1,250,i_73,,baseline,2a,Central
p_13784318,19,326.5,1,250,i_125,13,transposed,2a,Central
p_13784318,20,391.1999998,1,250,i_119,7,transposed,2a,Central
p_13784318,21,581.8000002,1,250,i_74,,baseline,2a,Central
p_13784318,22,827.7000008,1,125,i_211,99,control,2a,Central
p_13784318,23,228.2999992,1,250,i_115,3,transposed,2a,Central
p_13784318,24,422.8999996,1,250,i_60,,baseline,2a,Central
p_13784318,25,308.7000008,1,250,i_65,,baseline,2a,Central
p_13784318,26,225.3999996,1,250,i_138,26,transposed,2a,Central
p_13784318,27,580.3999996,1,250,i_118,6,transposed,2a,Central
p_13784318,28,889.5,1,125,i_30,,baseline,2a,Central
p_13784318,29,285.3000002,1,250,i_139,27,transposed,2a,Central
p_13784318,30,465.1999998,0,125,i_20,,baseline,2a,Central
p_13784318,31,439.5,1,125,i_17,,baseline,2a,Central
p_13784318,32,441.0999994,1,250,i_61,,baseline,2a,Central
